id,label,reason_name
373,reason,"Unsafe water, sanitation"
374,reason,Non-optimal temperature
375,reason,Kidney dysfunction
376,reason,High LDL cholesterol
377,reason,Childhood sexual abuse and bullying
378,reason,Unsafe sex
379,reason,Alcohol use
380,reason,Drug use
381,reason,High fasting plasma glucose
382,reason,High systolic blood pressure
383,reason,High body-mass index
384,reason,Low bone mineral density
385,reason,Dietary risks
386,reason,Air pollution
387,reason,Low physical activity
388,reason,Occupational risks
389,reason,Other environmental risks
390,reason,Child and maternal malnutrition
391,reason,Tobacco
392,reason,Intimate partner violence
