C_id1,C_id2,label
287,219,neighbors
287,275,neighbors
287,174,neighbors
287,242,neighbors
287,180,neighbors
179,261,neighbors
179,270,neighbors
268,326,neighbors
268,347,neighbors
268,286,neighbors
268,234,neighbors
268,339,neighbors
268,240,neighbors
243,265,neighbors
243,303,neighbors
335,330,neighbors
335,327,neighbors
246,235,neighbors
246,204,neighbors
246,210,neighbors
246,271,neighbors
172,233,neighbors
172,175,neighbors
172,331,neighbors
199,195,neighbors
199,258,neighbors
199,260,neighbors
199,266,neighbors
199,206,neighbors
199,314,neighbors
233,172,neighbors
233,175,neighbors
233,331,neighbors
257,252,neighbors
198,214,neighbors
198,285,neighbors
198,181,neighbors
198,229,neighbors
272,265,neighbors
272,195,neighbors
272,222,neighbors
272,216,neighbors
278,306,neighbors
278,313,neighbors
300,339,neighbors
300,297,neighbors
300,305,neighbors
321,219,neighbors
321,252,neighbors
244,241,neighbors
244,270,neighbors
244,194,neighbors
310,330,neighbors
310,327,neighbors
310,352,neighbors
235,246,neighbors
235,212,neighbors
235,197,neighbors
235,210,neighbors
235,215,neighbors
235,247,neighbors
235,271,neighbors
183,261,neighbors
183,262,neighbors
183,194,neighbors
183,331,neighbors
341,300,neighbors
341,362,neighbors
341,347,neighbors
341,339,neighbors
341,305,neighbors
322,365,neighbors
171,192,neighbors
298,289,neighbors
298,332,neighbors
298,297,neighbors
308,298,neighbors
308,289,neighbors
308,368,neighbors
289,298,neighbors
289,326,neighbors
289,339,neighbors
289,297,neighbors
289,368,neighbors
204,246,neighbors
204,215,neighbors
219,287,neighbors
219,321,neighbors
219,252,neighbors
219,256,neighbors
219,178,neighbors
219,238,neighbors
219,336,neighbors
219,275,neighbors
219,174,neighbors
212,235,neighbors
212,295,neighbors
212,324,neighbors
212,215,neighbors
277,249,neighbors
277,324,neighbors
241,258,neighbors
241,270,neighbors
241,194,neighbors
241,206,neighbors
333,335,neighbors
333,322,neighbors
333,365,neighbors
333,363,neighbors
333,327,neighbors
263,195,neighbors
337,293,neighbors
337,346,neighbors
337,353,neighbors
196,259,neighbors
295,212,neighbors
295,215,neighbors
315,190,neighbors
315,326,neighbors
315,368,neighbors
221,306,neighbors
221,228,neighbors
356,298,neighbors
356,332,neighbors
293,337,neighbors
293,346,neighbors
293,368,neighbors
294,214,neighbors
346,337,neighbors
346,293,neighbors
346,304,neighbors
346,353,neighbors
346,368,neighbors
202,291,neighbors
202,230,neighbors
265,243,neighbors
265,272,neighbors
265,195,neighbors
265,260,neighbors
265,222,neighbors
265,361,neighbors
265,303,neighbors
265,314,neighbors
332,298,neighbors
175,172,neighbors
175,233,neighbors
175,331,neighbors
195,199,neighbors
195,272,neighbors
195,263,neighbors
195,265,neighbors
195,222,neighbors
195,216,neighbors
195,181,neighbors
195,314,neighbors
362,305,neighbors
261,179,neighbors
261,183,neighbors
261,331,neighbors
306,278,neighbors
306,228,neighbors
306,313,neighbors
296,296,neighbors
296,288,neighbors
296,347,neighbors
296,307,neighbors
338,296,neighbors
338,307,neighbors
197,235,neighbors
197,247,neighbors
228,306,neighbors
228,249,neighbors
258,199,neighbors
258,241,neighbors
258,262,neighbors
258,194,neighbors
258,266,neighbors
258,206,neighbors
258,229,neighbors
252,257,neighbors
252,321,neighbors
252,219,neighbors
252,336,neighbors
252,275,neighbors
227,253,neighbors
323,248,neighbors
323,317,neighbors
323,331,neighbors
190,315,neighbors
190,248,neighbors
190,250,neighbors
260,199,neighbors
260,265,neighbors
260,206,neighbors
260,314,neighbors
248,323,neighbors
248,190,neighbors
256,219,neighbors
256,178,neighbors
256,242,neighbors
256,180,neighbors
304,346,neighbors
304,353,neighbors
304,363,neighbors
317,323,neighbors
178,219,neighbors
178,256,neighbors
178,174,neighbors
178,180,neighbors
214,198,neighbors
214,294,neighbors
214,285,neighbors
250,190,neighbors
288,296,neighbors
326,268,neighbors
326,289,neighbors
326,315,neighbors
326,339,neighbors
326,368,neighbors
326,240,neighbors
285,198,neighbors
285,214,neighbors
285,181,neighbors
222,272,neighbors
222,265,neighbors
222,195,neighbors
325,316,neighbors
325,327,neighbors
253,227,neighbors
253,192,neighbors
347,268,neighbors
347,296,neighbors
347,286,neighbors
347,339,neighbors
347,307,neighbors
286,268,neighbors
286,347,neighbors
286,307,neighbors
313,278,neighbors
313,306,neighbors
361,265,neighbors
238,219,neighbors
270,179,neighbors
270,241,neighbors
270,194,neighbors
234,268,neighbors
316,325,neighbors
316,327,neighbors
316,352,neighbors
330,335,neighbors
330,310,neighbors
330,327,neighbors
336,219,neighbors
336,252,neighbors
216,272,neighbors
216,195,neighbors
249,228,neighbors
339,268,neighbors
339,300,neighbors
339,289,neighbors
339,326,neighbors
339,347,neighbors
339,297,neighbors
297,300,neighbors
297,298,neighbors
