start_id,end_id,label,value
149,176,disease_value,0.004907922
150,176,disease_value,0.057569674
151,176,disease_value,0.069701649
152,176,disease_value,0.009380182
166,176,disease_value,0.00218383
167,176,disease_value,0.001479432
168,176,disease_value,0.000533227
164,176,disease_value,0.000179221
165,176,disease_value,0.000834075
118,176,disease_value,0.000208
119,176,disease_value,0.021253098
120,176,disease_value,2.70E-05
76,176,disease_value,0.025388513
77,176,disease_value,0.002834963
78,176,disease_value,0.008262896
159,182,disease_value,0.001611977
160,182,disease_value,0.006619141
161,182,disease_value,0.004845351
45,264,disease_value,0
46,264,disease_value,3.14E-05
47,264,disease_value,0.001875169
48,264,disease_value,0
132,264,disease_value,9.99E-06
133,264,disease_value,0.002071113
156,176,disease_value,0.00482894
85,176,disease_value,0.001932039
86,176,disease_value,0.009772347
87,176,disease_value,0.010214113
88,176,disease_value,0.002961433
89,176,disease_value,0.000775108
82,264,disease_value,0
83,264,disease_value,0.001162014
134,264,disease_value,0.008231842
110,264,disease_value,0.000283189
111,264,disease_value,0.003314244
140,176,disease_value,0.003064452
146,176,disease_value,0.001122745
147,176,disease_value,0.001450562
169,176,disease_value,0.002309971
159,176,disease_value,0.000728529
160,176,disease_value,0.004807369
161,176,disease_value,0.009922264
83,253,disease_value,0.000691459
134,253,disease_value,0.002255669
148,264,disease_value,0.000137301
149,264,disease_value,0.01378276
150,264,disease_value,0.088344008
151,264,disease_value,0.087303524
152,264,disease_value,0.006368524
166,264,disease_value,0.002078489
167,264,disease_value,0.001226176
168,264,disease_value,0.000414104
164,264,disease_value,0.000142797
165,264,disease_value,0.002828585
118,264,disease_value,0.000684281
135,253,disease_value,0.023749569
16,253,disease_value,0.002827599
17,253,disease_value,0.000591036
18,253,disease_value,1.62E-05
73,264,disease_value,0.001903941
74,264,disease_value,0.088695202
75,264,disease_value,1.10E-05
76,264,disease_value,0.026117944
77,264,disease_value,0.002697081
78,264,disease_value,0.006658561
152,253,disease_value,0.001934136
166,253,disease_value,0.003380379
167,253,disease_value,0.003254731
168,253,disease_value,0.002442364
164,253,disease_value,0.000297529
165,253,disease_value,0.001803683
118,253,disease_value,0.0005435
119,253,disease_value,0.021855197
120,253,disease_value,3.04E-05
84,264,disease_value,0.021007366
85,264,disease_value,0.001669018
86,264,disease_value,0.003493702
87,264,disease_value,0.006529811
88,264,disease_value,0.002169291
121,253,disease_value,0.007347376
