F_id,C_id,label,value
376,227,factor,0.025162027
389,227,factor,0.07593527
392,227,factor,0.009511507
393,227,factor,0.076752613
377,227,factor,0.004083392
390,219,factor,0.006565548
391,219,factor,0.040505998
378,227,factor,0.043022664
379,227,factor,0.042038235
394,227,factor,0.114327503
382,227,factor,0.009051041
383,227,factor,0.005613877
384,227,factor,0.097436337
385,227,factor,0.158253229
386,227,factor,0.090458006
387,227,factor,0.004518428
388,227,factor,0.099560348
395,219,factor,0.002066751
380,227,factor,0.001603665
376,219,factor,0.003010561
389,219,factor,0.11138345
381,227,factor,0.007807979
381,192,factor,0.037091194
392,219,factor,0.016528426
393,219,factor,0.019014852
377,219,factor,0.024448629
394,219,factor,0.16791579
382,219,factor,0.045185769
383,219,factor,0.013409922
384,219,factor,0.073875365
385,219,factor,0.14266981
386,219,factor,0.065007415
387,219,factor,0.008682783
378,219,factor,0.034981476
379,219,factor,0.051906613
376,290,factor,0.002004705
389,290,factor,0.045549953
392,290,factor,0.004501012
377,290,factor,0.008388883
388,219,factor,0.122623802
380,219,factor,0.0016863
378,290,factor,0.048008784
379,290,factor,0.031020154
380,290,factor,0.001794592
395,264,factor,0.001531062
386,192,factor,0.078727418
387,192,factor,0.007399286
388,192,factor,0.063045085
376,192,factor,0.010553222
377,192,factor,0.008480263
378,192,factor,0.049956802
379,192,factor,0.03342291
390,192,factor,0.005423569
391,192,factor,0.037870048
395,192,factor,0.001839201
376,284,factor,0.01089973
389,284,factor,0.064687962
393,290,factor,0.012614359
394,290,factor,0.120559781
392,284,factor,0.005081011
377,284,factor,0.006302469
378,284,factor,0.07073206
385,171,factor,0.065688884
386,171,factor,0.035042736
387,171,factor,0.005424375
388,171,factor,0.067755539
390,284,factor,0.016252179
391,284,factor,0.01771787
395,284,factor,0.005479027
382,290,factor,0.0572086
383,290,factor,0.018167422
384,290,factor,0.108109832
385,290,factor,0.086708929
386,290,factor,0.07911169
387,290,factor,0.006954781
388,290,factor,0.072369194
379,284,factor,0.073801829
380,284,factor,0.001824016
393,284,factor,0.039961839
394,284,factor,0.155278193
382,284,factor,0.025541398
383,284,factor,0.010237361
384,284,factor,0.191787289
385,284,factor,0.128338994
386,284,factor,0.195965032
387,284,factor,0.002961865
390,171,factor,0.002631296
391,171,factor,0.036109041
388,284,factor,0.12653345
395,226,factor,0.001659976
382,264,factor,0.016564591
383,264,factor,0.007598308
384,264,factor,0.172852627
385,264,factor,0.103995792
386,264,factor,0.159891709
387,264,factor,0.001391163
388,264,factor,0.102370825
376,264,factor,0.032714462
389,264,factor,0.100074639
392,264,factor,0.004520322
393,264,factor,0.103783927
393,253,factor,0.035110321
394,253,factor,0.10815727
382,253,factor,0.017794218
383,253,factor,0.013370239
384,253,factor,0.091554285
376,226,factor,0.021138685
389,226,factor,0.118782514
392,226,factor,0.00729302
393,226,factor,0.114485793
387,182,factor,0.002249886
388,182,factor,0.143716942
