id,label,disease_name,cata,,,
1,disease,Exposure to forces of nature,2,,,
2,disease,Environmental heat and cold exposure,2,,,
3,disease,Ebola,1,,,
4,disease,Conflict and terrorism,2,,,
5,disease,Typhoid and paratyphoid,1,,,
6,disease,Other malignant neoplasms,0,,,-1
7,disease,Other cardiovascular and circulatory diseases,0,,,
8,disease,Invasive Non-typhoidal Salmonella (iNTS),1,,,
9,disease,Whooping cough,1,,,
10,disease,Tetanus,1,,,
11,disease,Measles,1,,,
12,disease,Varicella and herpes zoster,1,,,
13,disease,Malaria,1,,,
14,disease,Chagas disease,1,,,
15,disease,Leishmaniasis,1,,,
16,disease,Protein-energy malnutrition,1,,,
17,disease,Iodine deficiency,1,,,
18,disease,Vitamin A deficiency,1,,,
19,disease,Dietary iron deficiency,1,,,
20,disease,Other nutritional deficiencies,1,,,
21,disease,Sexually transmitted infections excluding HIV,1,,,
22,disease,Tuberculosis,1,,,
23,disease,HIV/AIDS,1,,,
24,disease,Diarrheal diseases,1,,,
25,disease,Other intestinal infectious diseases,1,,,
26,disease,Lower respiratory infections,1,,,
27,disease,Upper respiratory infections,1,,,
28,disease,Otitis media,1,,,
29,disease,Meningitis,1,,,
30,disease,Encephalitis,1,,,
31,disease,Appendicitis,0,,,
32,disease,Paralytic ileus and intestinal obstruction,0,,,
33,disease,"Inguinal, femoral, and abdominal hernia",0,,,
34,disease,Inflammatory bowel disease,0,,,
35,disease,"Endocrine, metabolic, blood and immune disorders",1,,,
36,disease,Rheumatoid arthritis,0,,,
37,disease,Osteoarthritis,0,,,
38,disease,Low back pain,0,,,
39,disease,Neck pain,0,,,
40,disease,African trypanosomiasis,1,,,
41,disease,Schistosomiasis,0,,,
42,disease,Cysticercosis,1,,,
43,disease,Cystic echinococcosis,1,,,
44,disease,Lymphatic filariasis,1,,,
45,disease,Onchocerciasis,1,,,
46,disease,Trachoma,1,,,
47,disease,Dengue,1,,,
48,disease,Yellow fever,1,,,
49,disease,Lip and oral cavity cancer,0,,,
50,disease,Nasopharynx cancer,0,,,
51,disease,Other pharynx cancer,0,,,
52,disease,Gallbladder and biliary tract cancer,0,,,
53,disease,Pancreatic cancer,0,,,
54,disease,Malignant skin melanoma,0,,,
55,disease,Other digestive diseases,0,,,
56,disease,Alzheimer's disease and other dementias,0,,,
57,disease,Parkinson's disease,0,,,
58,disease,Idiopathic epilepsy,0,,,
59,disease,Multiple sclerosis,0,,,
60,disease,Motor neuron disease,0,,,
61,disease,Other neurological disorders,0,,,
62,disease,Schizophrenia,1,,,
63,disease,Drug use disorders,0,,,
64,disease,Depressive disorders,0,,,
65,disease,Bipolar disorder,0,,,
66,disease,Anxiety disorders,0,,,
67,disease,Eating disorders,0,,,
68,disease,Viral skin diseases,0,,,
69,disease,Acne vulgaris,1,,,
70,disease,Pancreatitis,0,,,
71,disease,Other musculoskeletal disorders,0,,,
72,disease,Congenital birth defects,1,,,
73,disease,Other mental disorders,0,,,
74,disease,Diabetes mellitus,0,,,
75,disease,Acute glomerulonephritis,1,,,
76,disease,Chronic kidney disease,0,,,
77,disease,Urinary diseases and male infertility,1,,,
78,disease,Gynecological diseases,1,,,
79,disease,Other unintentional injuries,2,,,
80,disease,Self-harm,2,,,
81,disease,Interpersonal violence,2,,,
82,disease,Food-borne trematodiases,1,,,
83,disease,Other neglected tropical diseases,1,,,
84,disease,Road injuries,2,,,
85,disease,Other transport injuries,2,,,
86,disease,Falls,2,,,
87,disease,Drowning,2,,,
88,disease,"Fire, heat, and hot substances",2,,,
89,disease,Poisonings,2,,,
90,disease,Gout,0,,,
91,disease,Diphtheria,1,,,
92,disease,Stomach cancer,0,,,
93,disease,Liver cancer,0,,,
94,disease,Larynx cancer,0,,,
95,disease,"Tracheal, bronchus and lung cancer",0,,,
96,disease,Breast cancer,0,,,
97,disease,Cervical cancer,0,,,
98,disease,Uterine cancer,0,,,
99,disease,Prostate cancer,0,,,
100,disease,Non-melanoma skin cancer,0,,,
101,disease,Ovarian cancer,0,,,
102,disease,Testicular cancer,0,,,
103,disease,Kidney cancer,0,,,
104,disease,Bladder cancer,0,,,
105,disease,Brain and central nervous system cancer,0,,,
106,disease,Thyroid cancer,0,,,
107,disease,Mesothelioma,0,,,
108,disease,Hodgkin lymphoma,0,,,
109,disease,Non-Hodgkin lymphoma,0,,,
110,disease,Multiple myeloma,0,,,
111,disease,Leukemia,0,,,
112,disease,Dermatitis,0,,,
113,disease,Psoriasis,0,,,
114,disease,Scabies,1,,,
115,disease,Fungal skin diseases,0,,,
116,disease,Alopecia areata,0,,,
117,disease,Pruritus,0,,,
118,disease,Non-rheumatic valvular heart disease,0,,,
119,disease,Chronic obstructive pulmonary disease,0,,,
120,disease,Pneumoconiosis,0,,,
121,disease,Asthma,0,,,
122,disease,Interstitial lung disease and pulmonary sarcoidosis,0,,,
123,disease,Other chronic respiratory diseases,0,,,
124,disease,Cirrhosis and other chronic liver diseases,0,,,
125,disease,Urticaria,0,,,
126,disease,Decubitus ulcer,0,,,
127,disease,Other skin and subcutaneous diseases,0,,,
128,disease,Age-related and other hearing loss,0,,,
129,disease,Other sense organ diseases,0,,,
130,disease,Oral disorders,1,,,
131,disease,Colon and rectum cancer,0,,,
132,disease,Rabies,1,,,
133,disease,Intestinal nematode infections,1,,,
134,disease,Maternal disorders,1,,,
135,disease,Neonatal disorders,1,,,
136,disease,Autism spectrum disorders,0,,,
137,disease,Attention-deficit/hyperactivity disorder,0,,,
138,disease,Conduct disorder,0,,,
139,disease,Idiopathic developmental intellectual disability,0,,,
140,disease,Exposure to mechanical forces,2,,,
141,disease,Headache disorders,0,,,
142,disease,Acute hepatitis,1,,,
143,disease,Leprosy,1,,,
144,disease,Other unspecified infectious diseases,1,,,
145,disease,Esophageal cancer,0,,,
146,disease,Adverse effects of medical treatment,2,,,
147,disease,Animal contact,2,,,
148,disease,Other neoplasms,0,,,
149,disease,Rheumatic heart disease,0,,,
150,disease,Ischemic heart disease,0,,,
151,disease,Stroke,0,,,
152,disease,Hypertensive heart disease,0,,,
153,disease,Executions and police conflict,2,,,
154,disease,Zika virus,1,,,
155,disease,Guinea worm disease,1,,,
156,disease,Hemoglobinopathies and hemolytic anemias,1,,,
157,disease,Alcohol use disorders,0,,,
158,disease,Sudden infant death syndrome,1,,,
159,disease,Bacterial skin diseases,0,,,
160,disease,Blindness and vision loss,0,,,
161,disease,Upper digestive system diseases,0,,,
162,disease,Vascular intestinal disorders,0,,,
163,disease,Gallbladder and biliary diseases,0,,,
164,disease,Peripheral artery disease,0,,,
165,disease,Endocarditis,0,,,
166,disease,Cardiomyopathy and myocarditis,0,,,
